ID	Comunidad	Via	pValue	ncomu	nvia	nComVia	ElementsComVia
GNAI1.hsa04072	GNAI1	hsa04072	8.80187606250057e-45	151	128	45	GNAS,PLCB2,PLCB1,PLCB3,PLCB4,GNA13,ADCY3,ADCY5,F2R,ADCY9,PIK3CG,ADCY1,ADCY6,ADCY8,PIK3R6,PIK3R5,ADCY2,ADCY7,ADCY4,GNA12,GRM1,LPAR1,LPAR3,LPAR4,LPAR5,LPAR2,LPAR6,GRM5,F2,GRM4,GRM2,GRM3,GRM6,GRM7,GRM8,RAPGEF4,RAPGEF3,AGT,AGTR1,C00639,AVP,AVPR1A,AVPR1B,PTGFR,AVPR2
GNAI1.hsa04725	GNAI1	hsa04725	1.00758503793383e-52	151	99	46	GNAI1,GNAI2,GNAI3,GNG12,GNAQ,GNB3,GNGT1,PLCB2,PLCB1,PLCB3,PLCB4,GNB5,GNB2,GNG3,GNG4,GNG5,GNG10,GNG11,GNGT2,GNG2,GNB4,GNG8,GNAO1,GNA11,CAMK4,CHRM2,CHRM1,ADCY3,ADCY5,ADCY9,PIK3CG,ADCY1,ADCY6,ADCY8,PIK3R6,PIK3R5,ADCY2,ADCY7,ADCY4,CACNA1A,CACNA1B,KCNJ3,KCNJ6,CHRM4,CHRM3,CHRM5
GNAI1.hsa04730	GNAI1	hsa04730	1.50161897081236e-14	151	56	16	GNAI1,GNAI2,GNAI3,GNAQ,GNAS,PLCB2,PLCB1,PLCB3,PLCB4,GNAO1,GNA11,GNA13,GNA12,GRM1,CACNA1A,CRHR1
ITGB3.hsa04015	ITGB3	hsa04015	3.50492529556539e-09	139	211	20	ITGB3,ITGB1,ACTB,ACTG1,ITGA2B,CRK,CRKL,THBS1,BCAR1,VASP,TLN1,TLN2,APBB1IP,RAPGEF1,PFN3,PFN4,PFN1,PFN2,ENAH,EVL
ITGB3.hsa04510	ITGB3	hsa04510	5.49755281653334e-105	139	199	86	ITGB3,PTK2,ITGB1,ITGAV,ACTB,ACTG1,ITGA2B,ITGA2,ITGB7,ITGB4,ITGB5,ITGB6,ITGB8,ITGA4,CRK,CRKL,ITGA5,ITGA9,ITGA11,ITGA6,ITGA1,ITGA3,ITGA7,ITGA10,ITGA8,PXN,THBS1,ACTN4,ACTN1,BCAR1,FN1,VASP,FLNA,FLNB,FLNC,COL1A1,COL1A2,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,LAMC1,VWF,LAMC3,LAMB4,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMB3,LAMC2,COL2A1,COL6A1,COL6A2,COL6A3,COL9A1,COL9A2,COL9A3,COMP,COL6A6,COL6A5,THBS2,THBS3,THBS4,TNC,TNN,TNR,TNXB,PARVB,PARVA,PARVG,SPP1,TLN1,TLN2,VTN,CHAD,IBSP,RELN,DIAPH1,RAPGEF1,ZYX
ITGB3.hsa05205	ITGB3	hsa05205	2.5592264197617e-11	139	199	22	ITGB3,PTK2,ITGB1,ITGAV,ACTB,ACTG1,ITGA2,ITGA5,CD44,SDC1,SDC4,PXN,THBS1,FN1,FLNA,FLNB,FLNC,VTN,FRS2,HSPG2,COL21A1,NUDT16L1
ITGB3.hsa05206	ITGB3	hsa05206	2.43252422630324e-08	139	260	21	ITGB3,CRK,CRKL,ITGA5,CD44,THBS1,TNC,TNN,TNR,TNXB,MIR126,MIR335,MIR373,MIR520E,MIR520A,MIR520B,MIR520G,MIR520H,MIR520C,SOX4,SLC45A3
ITGB3.hsa05416	ITGB3	hsa05416	2.79081954156621e-08	139	27	8	ACTB,ACTG1,LAMA1,LAMA2,DAG1,ABL2,DMD,CD55
MAPK1.hsa04010	MAPK1	hsa04010	2.7533060111919e-58	151	295	70	MAPK1,MAPK3,NFKB1,RELA,MAPK14,MAPK11,MAPK13,MAPK12,MAPK8,MAPK9,MAPK10,JUN,FOS,MYD88,MAP2K1,MAP3K1,TNF,MAP2K4,MAP2K2,MAP2K3,MAP2K6,MAP3K5,ELK1,IL1B,IL1A,MAP3K3,IL1R1,JUND,SRF,ELK4,MAP3K2,DDIT3,DUSP9,DUSP1,DUSP6,MAX,MAPKAPK2,DUSP3,PTPN7,PTPRR,PTPN5,DUSP10,DUSP2,DUSP4,DUSP5,DUSP7,DUSP8,DUSP16,MAP3K11,MAPK8IP3,CD14,MAPKAPK3,MAPK8IP2,MAPK8IP1,MAPT,MAPKAPK5,HSPB1,PPM1A,STMN1,MAP4K1,MAP2K5,MAP3K6,TAOK3,TAOK1,TAOK2,C00338,PPP5D1,PPP5C,MAP4K4,MAP4K3
MAPK1.hsa04210	MAPK1	hsa04210	1.88059459611653e-12	151	129	20	MAPK1,MAPK3,NFKB1,RELA,MAPK8,MAPK9,MAPK10,JUN,FOS,MAP2K1,TNF,MAP2K2,MAP3K5,BAX,BCL2L11,DDIT3,ERN1,DAB2IP,HRK,PTPN13
MAPK1.hsa04218	MAPK1	hsa04218	5.0621934704866e-12	151	152	21	MAPK1,MAPK3,NFKB1,RELA,MAPK14,MAPK11,MAPK13,MAPK12,MAP2K1,C00027,MAP2K2,MAP2K3,MAP2K6,CDK4,IL1A,ETS1,SIRT1,MAPKAPK2,TRAF3IP2,ZFP36L1,ZFP36L2
MAPK1.hsa05014	MAPK1	hsa05014	4.2158564440055e-11	151	53	13	MAPK14,MAPK11,MAPK13,MAPK12,C00027,TNF,MAP2K3,MAP2K6,MAP3K5,BAX,NEFL,NEFM,NEFH
MAPK1.hsa05131	MAPK1	hsa05131	3.41788951880998e-16	151	54	17	MAPK1,MAPK3,NFKB1,RELA,MAPK14,MAPK11,MAPK13,MAPK12,MAPK8,MAPK9,MAPK10,CXCL8,RHOG,NOD1,U2AF1L5,U2AF1L4,U2AF1
MAPK1.hsa05146	MAPK1	hsa05146	5.10579497231195e-08	151	37	9	NFKB1,RELA,C00027,TLR4,IL1B,IL1R1,IL1R2,CD14,HSPB1
MAPK1.hsa05152	MAPK1	hsa05152	6.33822124784477e-15	151	184	26	MAPK1,MAPK3,NFKB1,RELA,MAPK14,MAPK11,MAPK13,MAPK12,MAPK8,MAPK9,MAPK10,MYD88,NOS2,TNF,TLR4,IL1B,IL1A,BAX,IL18,CEBPB,CD14,CAMP,CEBPG,C00338,TLR9,HSPD1
MAPK1.hsa05164	MAPK1	hsa05164	1.55480205208674e-11	151	128	19	MAPK1,MAPK3,NFKB1,RELA,MAPK14,MAPK8,CXCL8,MYD88,MAP2K1,C00027,TNF,MAP2K2,MAP2K3,TLR4,IL1B,IL1A,NLRP3,IL18,TLR7
PIK3R2.hsa04015	PIK3R2	hsa04015	4.66202114232283e-36	129	211	44	PIK3R2,PIK3R1,PIK3R3,PIK3CA,PIK3CB,PIK3CD,RAC1,SRC,PLCG1,RAC2,RAC3,RHOA,CDC42,RAP1A,RAP1B,RAF1,PRKCZ,ITGB2,ITGAM,TIAM1,VAV2,VAV3,VAV1,ITGAL,LCP2,RALGDS,PRKCI,LAT,RALA,RALB,PARD6A,PARD6G,PARD6B,RGS14,SKAP1,FARP2,SIPA1,ARAP3,KRIT1,FYB1,RAP1GAP,SIPA1L1,SIPA1L2,DOCK4
PIK3R2.hsa04072	PIK3R2	hsa04072	4.65141204086108e-16	129	128	22	PIK3R2,PIK3R1,PIK3R3,PIK3CA,PIK3CB,PIK3CD,PLCG1,PLCG2,RHOA,RAF1,PTPN11,FYN,PLD1,PLD2,PTK2B,GAB2,RALGDS,FCER1G,RALA,RALB,MS4A2,FCER1A
PIK3R2.hsa04611	PIK3R2	hsa04611	1.35645946783697e-16	129	136	23	PIK3R2,PIK3R1,PIK3R3,PIK3CA,PIK3CB,PIK3CD,SRC,PLCG2,RHOA,RAP1A,RAP1B,PRKCZ,LYN,FYN,LCP2,BTK,PRKCI,FCER1G,GP9,GP1BB,GP1BA,GP5,ARHGAP35
PIK3R2.hsa04650	PIK3R2	hsa04650	1.26034492436771e-24	129	128	29	PIK3R2,PIK3R1,PIK3R3,PIK3CA,PIK3CB,PIK3CD,RAC1,PLCG1,PLCG2,RAC2,RAC3,RAF1,ITGB2,PTPN11,FYN,VAV2,VAV3,VAV1,ITGAL,LCP2,ZAP70,PTK2B,ICAM1,LAT,FCER1G,LCK,HCST,SH3BP2,ICAM2
PIK3R2.hsa04660	PIK3R2	hsa04660	4.50844067447728e-22	129	103	25	PIK3R2,PIK3R1,PIK3R3,PIK3CA,PIK3CB,PIK3CD,PLCG1,RHOA,CDC42,RAF1,FYN,PDPK1,VAV2,VAV3,VAV1,LCP2,ZAP70,LAT,ITK,LCK,CD3E,ICOS,TEC,PTPRC,GRAP2
PIK3R2.hsa04662	PIK3R2	hsa04662	8.50277007186938e-21	129	80	22	PIK3R2,PIK3R1,PIK3R3,PIK3CA,PIK3CB,PIK3CD,RAC1,PLCG2,RAC2,RAC3,RAF1,LYN,VAV2,VAV3,VAV1,BTK,CD19,BLNK,PIK3AP1,DAPP1,CD79A,CD79B
PIK3R2.hsa04666	PIK3R2	hsa04666	4.79313399177149e-25	129	101	27	PIK3R2,PIK3R1,PIK3R3,PIK3CA,PIK3CB,PIK3CD,RAC1,PLCG1,PLCG2,RAC2,CDC42,RAF1,LYN,PRKCD,PLD1,PLD2,VAV2,VAV3,VAV1,HCK,GAB2,LAT,DNM2,DOCK2,AMPH,BIN1,PTPRC
PIK3R2.hsa04670	PIK3R2	hsa04670	8.79328654434036e-29	129	105	30	PIK3R2,PIK3R1,PIK3R3,PIK3CA,PIK3CB,PIK3CD,RAC1,PLCG1,PLCG2,RAC2,RHOA,CDC42,RAP1A,RAP1B,ITGB2,ITGAM,VAV2,VAV3,VAV1,ITGAL,PTK2B,ICAM1,ITK,CDH5,PECAM1,TXK,THY1,ARHGAP35,ARHGAP5,SIPA1
PIK3R2.hsa04810	PIK3R2	hsa04810	6.23995779835069e-18	129	216	29	PIK3R2,PIK3R1,PIK3R3,PIK3CA,PIK3CB,PIK3CD,RAC1,SRC,RAC2,RAC3,RHOA,CDC42,RAF1,ITGB2,ITGAM,TIAM1,VAV2,VAV3,VAV1,ITGAL,DOCK1,IQGAP1,SPATA13,ARHGEF4,IQGAP2,IQGAP3,ARHGAP35,FGD1,FGD3
PIK3R2.hsa04933	PIK3R2	hsa04933	1.71517498032669e-14	129	104	19	PIK3R2,PIK3R1,PIK3R3,PIK3CA,PIK3CB,PIK3CD,RAC1,PLCG1,PLCG2,CDC42,PRKCZ,PRKCD,AGER,ICAM1,NOX4,C21011,C21012,C21013,C21014
PIK3R2.hsa05100	PIK3R2	hsa05100	4.38396474890302e-16	129	53	16	PIK3R2,PIK3R1,PIK3R3,PIK3CA,PIK3CB,PIK3CD,RAC1,SRC,RHOA,CDC42,ILK,DNM2,ELMO1,DOCK1,ELMO2,ELMO3
PPP1CA.hsa04020	PPP1CA	hsa04020	6.26492294087379e-15	98	130	19	CALML6,CALML5,CALM1,CALM2,CALM3,CALML3,CALML4,NOS3,NOS1,PHKA1,PHKA2,PHKB,PHKG1,PHKG2,PDE1A,PDE1C,PDE1B,RYR1,RYR3
PPP1CA.hsa04024	PPP1CA	hsa04024	2.23463993698079e-16	98	229	25	PPP1CA,PPP1CB,PPP1CC,CALML6,CALML5,CALM1,CALM2,CALM3,CALML3,CALML4,GRIN2B,GRIN2A,GRIN1,GRIN2C,GRIN2D,GRIA2,GRIA1,GRIA3,GRIA4,GRIN3A,GRIN3B,CNGB1,CNGA1,CNGA2,CNGA4
PPP1CA.hsa04114	PPP1CA	hsa04114	9.3978309898421e-11	98	124	15	PPP1CA,PPP1CB,PPP1CC,CALML6,CALML5,CALM1,CALM2,CALM3,CALML3,CALML4,RPS6KA6,RPS6KA1,RPS6KA2,RPS6KA3,PKMYT1
PPP1CA.hsa04330	PPP1CA	hsa04330	1.31111564117586e-08	98	48	9	RBPJL,RBPJ,KAT2A,KAT2B,MAML3,MAML2,MAML1,PTCRA,SNW1
PPP1CA.hsa04713	PPP1CA	hsa04713	1.01461863372516e-23	98	91	23	CALML6,CALML5,CALM1,CALM2,CALM3,CALML3,CALML4,NOS1,GRIN2B,GRIN2A,GRIN1,GRIN2C,GRIN2D,GRIA2,GRIA1,CACNA1G,CACNA1I,CACNA1H,GRIA3,GRIA4,RYR1,RYR3,NOS1AP
PPP1CA.hsa04724	PPP1CA	hsa04724	9.21941602229755e-16	98	101	18	C00025,GRIN2B,GRIN2A,GRIN1,GRIN2C,GRIN2D,GRIA2,GRIA1,GRIA3,GRIA4,DLG4,GRIN3A,GRIN3B,GRIK1,GRIK2,GRIK3,GRIK4,GRIK5
PPP1CA.hsa04910	PPP1CA	hsa04910	3.81659186055189e-23	98	139	26	PPP1CA,PPP1CB,PPP1CC,CALML6,CALML5,CALM1,CALM2,CALM3,CALML3,CALML4,GYS1,GYS2,PYGB,PYGL,PYGM,PPP1R3A,PPP1R3C,PPP1R3D,PPP1R3B,PPP1R3E,PHKA1,PHKA2,PHKB,PHKG1,PHKG2,PPP1R3F
PPP1CA.hsa04931	PPP1CA	hsa04931	6.81827984291638e-17	98	103	19	PPP1CA,PPP1CB,PPP1CC,NOS3,GYS1,GYS2,PYGB,PYGL,PYGM,PPP1R3A,PPP1R3C,PPP1R3D,PPP1R3B,PPP1R3E,RPS6KA6,RPS6KA1,RPS6KA2,RPS6KA3,G00369
PPP1CA.hsa05418	PPP1CA	hsa05418	7.74505072822063e-11	98	144	16	CALML6,CALML5,CALM1,CALM2,CALM3,CALML3,CALML4,NOS3,HSP90AA1,HSP90AB1,HSP90B1,CAV1,CAV2,CAV3,SDC2,GPC1
HDAC1.hsa05034	HDAC1	hsa05034	5.6635633405099e-89	64	170	57	HDAC1,HDAC2,HDAC4,HDAC3,HDAC5,HDAC6,HDAC7,HDAC8,HDAC11,HDAC10,HDAC9,HIST3H2BB,H2BFWT,HIST1H2BA,H2BFM,HIST1H2BD,HIST1H2BB,HIST2H2BF,HIST1H2BG,HIST1H2BL,HIST1H2BN,HIST1H2BM,HIST1H2BF,HIST1H2BE,HIST1H2BH,HIST1H2BI,HIST1H2BC,HIST1H2BO,HIST2H2BE,HIST1H2BK,HIST1H2BJ,HIST1H2AA,HIST1H2AE,HIST1H2AD,H2AFX,H2AFZ,HIST2H2AB,H2AFB2,H2AFB1,H2AFY2,H2AFJ,HIST2H2AA4,HIST1H2AI,HIST1H2AK,HIST1H2AJ,HIST1H2AL,HIST1H2AC,HIST1H2AB,HIST1H2AM,HIST2H2AA3,HIST2H2AC,H2AFB3,HIST1H2AH,HIST1H2AG,HIST3H2A,H2AFV,H2AFY
CXCR1.hsa04062	CXCR1	hsa04062	5.64744992294428e-108	74	191	69	CXCR1,CXCR2,CXCR4,CCR5,CXCR3,CXCR5,CXCR6,XCR1,CX3CR1,CCR8,CCR9,CCR7,CCR4,CCR3,CCR1,CCR2,CCR10,CCR6,CXCL1,CXCL2,CXCL3,CCL5,CXCL10,CCL2,CCL4L1,CCL4,CCL4L2,CCL3L3,CCL3,CCL3L1,GRK7,GRK1,GRK4,GRK5,GRK6,CXCL12,CCL19,CCL21,CCL13,CXCL9,CXCL11,CCL1,CCL25,CCL8,CXCL6,CXCL5,PPBP,PF4,PF4V1,CXCL13,CXCL16,XCL1,XCL2,CX3CL1,CCL17,CCL22,CCL14,CCL16,CCL15,CCL23,CCL7,CCL11,CCL24,CCL26,CCL27,CCL28,CCL20,CCL18,CXCL14
PPP2CA.hsa04261	PPP2CA	hsa04261	1.76772665087381e-52	59	155	39	PPP2CA,PPP2CB,CACNA1C,PPP2R1A,PPP2R1B,CACNA1D,PPP2R2A,PPP2R2B,PPP2R2C,PPP2R2D,CACNA1F,CACNA1S,RYR2,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,PPP2R3B,PPP2R3C,PPP2R3A,CACNG3,CACNG2,CACNG5,CACNG4,CACNA2D3,CACNG8,CACNG7,CACNG6,CACNA2D1,CACNB1,CACNB2,CACNB3,CACNB4,CACNG1,CACNA2D2,CACNA2D4,PPP1R1A,TNNI3
DRD2.hsa04024	DRD2	hsa04024	4.30309252749006e-80	98	229	67	DRD2,C00780,C00212,C00334,C03758,C00547,C00584,C00788,C01996,NPY,GABBR1,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,GABBR2,ADCYAP1R1,EDN1,EDNRA,C00042,C00186,PTGER3,C01089,C20793,GHRL,EDN2,EDN3,SST,OXT,ADRB2,ADORA1,GHSR,HCAR1,FFAR2,HCAR2,NPY1R,SUCNR1,SSTR1,SSTR2,SSTR5,HCAR3,ADRB1,NPPA,NPR1,ADORA2A,DRD5,FSHR,TSHR,POMC,PTGER2,C01312,GPR119,DRD1,GIPR,GLP1R,HTR4,HTR6,MC2R,VIPR2,CGA,GCG,C20792,FSHB,ADCYAP1,VIP,GIP
